RBP	geneID	geneName	geneType	clusterNum	clipExpNum	clipIDnum	HepG2(shRNA)	K562(shRNA)	HepG2(CRIPSR)	K562(CRIPSR)	pancancerNum
RNPS1	ENSG00000136997	MYC	protein_coding	8	18	155	NA	NA	NA	NA	16
RPS3	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	21
SCAF4	ENSG00000136997	MYC	protein_coding	4	3	5	NA	NA	NA	NA	21
SCAF8	ENSG00000136997	MYC	protein_coding	2	2	4	NA	NA	NA	NA	16
SDAD1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	26
SERBP1	ENSG00000136997	MYC	protein_coding	3	1	3	-0.296	-0.318	NA	NA	28
SF3B1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	-0.615	NA	-0.857	15
SF3B4	ENSG00000136997	MYC	protein_coding	1	2	2	-0.185	NA	NA	NA	14
SLBP	ENSG00000136997	MYC	protein_coding	4	2	7	0.079	NA	NA	NA	15
SLTM	ENSG00000136997	MYC	protein_coding	5	4	9	NA	0.217	NA	NA	19
SND1	ENSG00000136997	MYC	protein_coding	4	3	7	NA	NA	NA	NA	21
SOX2	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	NA	13
SP1	ENSG00000136997	MYC	protein_coding	6	3	9	NA	NA	NA	NA	18
SRSF1	ENSG00000136997	MYC	protein_coding	7	3	10	-1.258	-0.473	NA	NA	19
SRSF3	ENSG00000136997	MYC	protein_coding	7	1	12	0.238	NA	NA	-0.831	22
SRSF6	ENSG00000136997	MYC	protein_coding	3	1	4	NA	NA	NA	NA	22
SRSF7	ENSG00000136997	MYC	protein_coding	5	3	11	NA	NA	-0.132	NA	25
SRSF9	ENSG00000136997	MYC	protein_coding	3	3	4	0.319	NA	NA	NA	24
TAF15	ENSG00000136997	MYC	protein_coding	1	1	1	-0.134	-0.949	NA	NA	14
TARDBP	ENSG00000136997	MYC	protein_coding	4	41	62	NA	NA	NA	NA	15
TFIP11	ENSG00000136997	MYC	protein_coding	3	2	6	0.644	NA	NA	NA	25
TIA1	ENSG00000136997	MYC	protein_coding	6	6	12	NA	NA	NA	NA	15
TIAL1	ENSG00000136997	MYC	protein_coding	2	7	9	-1.852	-0.434	NA	NA	21
TOP3B	ENSG00000136997	MYC	protein_coding	4	1	4	NA	NA	NA	NA	22
TRA2A	ENSG00000136997	MYC	protein_coding	2	2	2	NA	0.288	NA	NA	14
TRA2B	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	24
TRIM25	ENSG00000136997	MYC	protein_coding	4	2	8	NA	NA	NA	NA	20
TRMT10A	ENSG00000136997	MYC	protein_coding	2	1	2	NA	NA	NA	NA	17
U2AF1	ENSG00000136997	MYC	protein_coding	10	11	33	0.192	-0.364	NA	NA	11
